TABLE A.2(a) Filtered Marker Kinematics—Rib Cage and Greater Trochanter (Hip),,,,,,,,,,,,,,,
STATE,,,BASE RIB CAGE,,,,,,,HIP,,,,,
,frame,time,x,vx,ax,y,vy,ay,,x,vx,ax,y,vy,ay
,64,0.901,1.7377,1.7,1.8,1.0343,-0.08,2.3,,1.6937,1.85,5.5,0.7933,-0.15,0.2
,65,0.915,1.7623,1.71,-1,1.0334,-0.04,3.2,,1.7208,1.91,2.5,0.7911,-0.15,0.7
,66,0.929,1.7866,1.67,-4,1.0332,0.01,4,,1.7483,1.92,-1.1,0.7891,-0.13,1.3
,67,0.944,1.8101,1.6,-6,1.0338,0.07,4.3,,1.7756,1.88,-4.2,0.7873,-0.11,2
,68,0.958,1.8323,1.5,-6.4,1.0353,0.14,4.2,,1.802,1.8,-6.4,0.7859,-0.08,2.9
,69,0.972,1.8531,1.41,-5.8,1.0377,0.19,3.8,,1.827,1.69,-7.5,0.7851,-0.03,3.8
TOR,70,0.987,1.8727,1.34,-4.7,1.0409,0.24,3,,1.8505,1.58,-7.7,0.7851,0.03,4.5
,71,1.001,1.8914,1.28,-3.5,1.0447,0.28,1.8,,1.8723,1.48,-6.8,0.7861,0.1,4.8
,72,1.015,1.9093,1.24,-2.4,1.0489,0.3,0.4,,1.8927,1.39,-5,0.788,0.17,4.6
,73,1.03,1.9268,1.21,-1.4,1.0532,0.29,-0.8,,1.912,1.33,-3,0.7909,0.23,4.1
,74,1.044,1.944,1.2,-0.7,1.0572,0.27,-1.3,,1.9308,1.3,-1.1,0.7947,0.29,3.5
,75,1.058,1.961,1.19,-0.3,1.061,0.26,-1.1,,1.9493,1.3,0.5,0.7991,0.33,2.8
,76,1.072,1.978,1.19,0.1,1.0645,0.24,-1.1,,1.968,1.32,1.7,0.8042,0.37,1.5
,77,1.087,1.9951,1.19,0.4,1.0679,0.22,-1.6,,1.987,1.35,2.4,0.8096,0.38,-0.4
,78,1.101,2.0122,1.2,0.7,1.071,0.19,-2.6,,2.0066,1.39,2.5,0.8149,0.36,-2.3
,79,1.115,2.0294,1.21,1,1.0735,0.15,-3.4,,2.0267,1.42,2,0.8198,0.31,-3.9
,80,1.13,2.0469,1.23,1.3,1.0753,0.1,-3.7,,2.0473,1.45,1.1,0.8238,0.24,-4.8
,81,1.144,2.0647,1.25,1.3,1.0763,0.04,-3.8,,2.0681,1.45,0.1,0.8268,0.17,-5
,82,1.158,2.0827,1.27,1,1.0765,-0.01,-3.7,,2.0889,1.45,-0.8,0.8287,0.1,-4.9
,83,1.173,2.1009,1.28,0.7,1.076,-0.06,-3.6,,2.1095,1.43,-1.1,0.8297,0.03,-4.7
,84,1.187,2.1193,1.29,0.5,1.0748,-0.11,-3.4,,2.1298,1.42,-1.1,0.8296,-0.03,-4.4
,85,1.201,2.1378,1.3,0.6,1.0728,-0.16,-3,,2.15,1.4,-0.7,0.8287,-0.09,-4.2
,86,1.215,2.1563,1.3,0.8,1.0702,-0.2,-2.7,,2.1699,1.4,0.1,0.827,-0.15,-4.1
,87,1.23,2.1751,1.32,1.1,1.0671,-0.24,-2.3,,2.1899,1.4,1,0.8244,-0.21,-3.8
,88,1.244,2.194,1.34,1.5,1.0635,-0.27,-1.8,,2.21,1.43,2,0.821,-0.26,-3.1
,89,1.258,2.2133,1.36,1.6,1.0595,-0.29,-1.1,,2.2306,1.46,2.6,0.8169,-0.3,-2
,90,1.273,2.2329,1.38,1.6,1.0552,-0.3,-0.3,,2.2518,1.5,2.6,0.8124,-0.32,-0.7
,91,1.287,2.2529,1.41,1.7,1.051,-0.3,0.4,,2.2735,1.54,2.6,0.8078,-0.32,0.6
,92,1.301,2.2731,1.43,1.9,1.0468,-0.29,0.8,,2.2957,1.57,2.8,0.8033,-0.3,1.8
,93,1.316,2.2938,1.46,2.2,1.0428,-0.27,1.3,,2.3185,1.62,3.3,0.7992,-0.27,3
,94,1.33,2.3149,1.49,2.4,1.039,-0.25,1.9,,2.3419,1.67,3.5,0.7957,-0.22,4
,95,1.344,2.3365,1.53,2.6,1.0356,-0.22,2.8,,2.3661,1.72,3.1,0.793,-0.15,4.8
,96,1.358,2.3587,1.57,2.6,1.0328,-0.17,3.5,,2.391,1.75,2,0.7913,-0.08,5.3
HCR,97,1.373,2.3813,1.6,2.2,1.0307,-0.12,3.7,,2.4163,1.77,0.2,0.7908,0,5.3
,98,1.387,2.4045,1.63,1.3,1.0294,-0.06,3.9,,2.4417,1.76,-1.7,0.7913,0.07,5.2
,99,1.401,2.4279,1.64,0.1,1.0289,-0.01,4.1,,2.4667,1.72,-3.5,0.7929,0.15,4.8
,100,1.416,2.4514,1.63,-1.1,1.0292,0.05,4.5,,2.4909,1.66,-4.7,0.7955,0.21,4
,101,1.43,2.4746,1.61,-2.3,1.0304,0.12,4.7,,2.5142,1.59,-5.2,0.7989,0.26,2.4
,102,1.444,2.4974,1.57,-3.2,1.0327,0.19,4.4,,2.5364,1.51,-5.3,0.8029,0.28,0.6
,103,1.459,2.5194,1.52,-4,1.0358,0.25,3.5,,2.5575,1.44,-5.2,0.8069,0.28,-1
,104,1.473,2.5407,1.45,-4.9,1.0398,0.29,2.1,,2.5775,1.36,-5.2,0.8108,0.25,-1.8
,105,1.487,2.561,1.37,-6.4,1.0441,0.31,0.4,,2.5965,1.29,-6,0.8142,0.22,-2
,106,1.501,2.58,1.27,-8.6,1.0485,0.3,-1.1,,2.6143,1.19,-7.9,0.8171,0.19,-2.1
