TABLE A.3(b) Linear and Angular Kinematics—Leg,,,,,,,,,,,
STATE,FRAME,TIME,THETA,OMEGA,ALPHA,CofM-X,VEL-X,ACC-X,CofM-Y,VEL-Y,ACC-Y
,83,1.173,68.3,5.81,8.73,2.171,2.667,−2.22,0.373,−0.273,−1.78
,84,1.187,73.1,5.91,6.21,2.209,2.632,−2.66,0.369,−0.292,−0.96
,85,1.201,78,5.98,4.43,2.246,2.59,−3.35,0.365,−0.301,−0.35
,86,1.215,82.9,6.04,1.9,2.283,2.536,−4.35,0.361,−0.302,0.05
,87,1.23,87.9,6.04,−3.69,2.319,2.466,−5.61,0.356,−0.299,0.43
,88,1.244,92.8,5.93,−14.21,2.354,2.376,−6.98,0.352,−0.290,0.92
,89,1.258,97.6,5.63,−29.76,2.387,2.266,−8.35,0.348,−0.273,1.38
,90,1.273,102,5.08,−48.61,2.418,2.137,−9.47,0.344,−0.250,1.67
,91,1.287,105.9,4.24,−67.64,2.448,1.996,−9.96,0.341,−0.225,1.72
,92,1.301,109,3.14,−82.66,2.476,1.853,−9.67,0.338,−0.201,1.54
,93,1.316,111,1.88,−89.51,2.501,1.719,−8.82,0.335,−0.181,1.24
,94,1.33,112,0.58,−85.71,2.525,1.6,−7.71,0.333,−0.166,1.2
,95,1.344,112,−0.57,−71.95,2.547,1.499,−6.53,0.331,−0.147,1.66
,96,1.358,111.1,−1.47,−52.52,2.568,1.414,−5.46,0.329,−0.118,2.38
HCR,97,1.373,109.6,−2.08,−33.63,2.587,1.343,−4.69,0.327,−0.079,2.96
,98,1.387,107.7,−2.43,−20.13,2.606,1.279,−4.45,0.326,−0.033,3.19
,99,1.401,105.6,−2.65,−12.52,2.624,1.215,−4.84,0.326,0.012,2.88
,100,1.416,103.4,−2.79,−7.44,2.641,1.141,−5.82,0.327,0.049,1.96
,101,1.43,101,−2.86,−1.54,2.656,1.049,−7.22,0.328,0.068,0.66
,102,1.444,98.7,−2.84,5.68,2.671,0.934,−8.71,0.329,0.068,−0.54
,103,1.459,96.4,−2.70,12.64,2.683,0.8,−9.67,0.33,0.053,−1.23
,104,1.473,94.2,−2.48,18.05,2.694,0.658,−9.59,0.33,0.033,−1.29
,105,1.487,92.3,−2.19,21.86,2.702,0.526,−8.48,0.33,0.016,−0.96
,106,1.501,90.7,−1.85,24.55,2.709,0.415,−6.99,0.331,0.005,−0.61
