"TABLE A.4 Relative Joint Angular Kinematics—Ankle, Knee, and Hip",,,,,,,,,,,
STATE,FRAME,TIME,ANKLE,,,KNEE,,,HIP,,
,50,0.701,5.9,0.63,−3.15,7.6,−0.73,0.18,0,−0.58,−8.17
,51,0.715,6.4,0.51,−11.50,7,−0.72,1.21,−0.5,−0.70,−7.39
,52,0.729,6.7,0.3,−14.34,6.4,−0.69,4.06,−1.2,−0.79,−4.00
,53,0.744,6.9,0.1,−10.68,5.9,−0.61,8.77,−1.8,−0.81,−0.17
,54,0.758,6.9,−0.01,−4.17,5.4,−0.44,15.06,−2.5,−0.79,3.12
,55,0.772,6.9,−0.02,0,5.2,−0.18,22.07,−3.1,−0.73,5.7
,56,0.786,6.8,−0.01,−1.14,5.1,0.19,28.41,−3.7,−0.63,6.92
,57,0.801,6.8,−0.05,−7.42,5.5,0.63,32.98,−4.2,−0.53,6.16
,58,0.815,6.8,−0.22,−17.46,6.2,1.13,35.54,−4.6,−0.45,3.95
,59,0.829,6.5,−0.55,−28.75,7.3,1.65,36.64,−4.9,−0.41,1.81
,60,0.844,5.9,−1.04,−37.44,8.9,2.18,37.19,−5.2,−0.40,1.24
,61,0.858,4.8,−1.62,−40.93,10.9,2.71,37.9,−5.6,−0.38,2.74
,62,0.872,3.2,−2.21,−40.94,13.3,3.26,39,−5.9,−0.32,5.62
,63,0.887,1.2,−2.79,−41.67,16.2,3.83,40.04,−6.1,−0.22,8.61
,64,0.901,−1.4,−3.40,−43.21,19.6,4.41,39.95,−6.2,−0.08,11.23
,65,0.915,−4.4,−4.03,−38.18,23.5,4.97,37.59,−6.2,0.1,14.31
,66,0.929,−8.0,−4.50,−17.72,27.8,5.48,32.25,−6.0,0.33,18.85
,67,0.944,−11.8,−4.54,18.41,32.4,5.9,23.44,−5.7,0.64,24.81
,68,0.958,−15.4,−3.97,59.42,37.4,6.15,10.87,−5.0,1.04,31.17
,69,0.972,−18.3,−2.84,91.15,42.5,6.21,−4.80,−4.0,1.53,36.24
TOR,70,0.987,−20.1,−1.36,104.21,47.6,6.02,−21.92,−2.5,2.08,38.01
,71,1.001,−20.5,0.14,96.45,52.4,5.58,−38.75,−0.5,2.62,34.78
,72,1.015,−19.8,1.4,72.74,56.7,4.91,−53.72,1.8,3.07,26.42
,73,1.03,−18.2,2.22,42.5,60.4,4.04,−65.55,4.5,3.38,14.66
,74,1.044,−16.2,2.61,15.01,63.4,3.03,−74.32,7.3,3.49,1.29
,75,1.058,−14.0,2.65,−3.93,65.4,1.92,−80.71,10.2,3.41,−12.63
,76,1.072,−11.8,2.5,−13.24,66.5,0.73,−83.96,12.9,3.13,−25.25
,77,1.087,−9.9,2.28,−16.29,66.6,−0.48,−82.70,15.3,2.69,−33.71
,78,1.101,−8.1,2.03,−17.51,65.7,−1.64,−76.99,17.3,2.17,−36.16
,79,1.115,−6.5,1.77,−18.73,63.9,−2.69,−68.11,18.9,1.66,−32.81
,80,1.13,−5.2,1.5,−19.65,61.3,−3.59,−57.74,20.1,1.23,−25.82
,81,1.144,−4.1,1.21,−19.37,58,−4.34,−48.02,20.9,0.92,−18.62
,82,1.158,−3.2,0.94,−17.21,54.2,−4.96,−40.91,21.6,0.7,−14.21
,83,1.173,−2.5,0.72,−13.87,49.9,−5.51,−37.09,22.1,0.51,−13.55
,84,1.187,−2.0,0.55,−10.79,45.2,−6.02,−35.35,22.4,0.31,−15.62
,85,1.201,−1.6,0.41,−7.88,40,−6.52,−32.90,22.6,0.06,−18.75
,86,1.215,−1.3,0.32,−3.38,34.5,−6.96,−26.57,22.5,−0.23,−21.73
,87,1.23,−1.1,0.31,3.27,28.6,−7.28,−14.15,22.2,−0.56,−23.63
,88,1.244,−0.8,0.42,9.14,22.6,−7.37,4.76,21.6,−0.90,−23.22
,89,1.258,−0.4,0.58,10.06,16.5,−7.14,28.98,20.7,−1.22,−19.01
,90,1.273,0.1,0.7,4.8,10.9,−6.54,56.01,19.6,−1.45,−10.61
,91,1.287,0.7,0.71,−4.67,5.8,−5.54,81.46,18.3,−1.52,−0.51
,92,1.301,1.3,0.57,−16.27,1.8,−4.21,99.89,17.1,−1.46,6.98
,93,1.316,1.7,0.25,−29.67,−1.1,−2.68,107.07,15.9,−1.32,9.49
,94,1.33,1.7,−0.28,−44.20,−2.6,−1.15,101.58,14.9,−1.19,8.22
,95,1.344,1.2,−1.02,−54.99,−3.0,0.22,85.39,14,−1.09,6.14
,96,1.358,0,−1.85,−53.10,−2.3,1.3,63.88,13.1,−1.01,5.89
HCR,97,1.373,−1.8,−2.53,−31.93,−0.8,2.05,43.96,12.3,−0.92,8.35
,98,1.387,−4.1,−2.77,4.96,1.1,2.55,29.9,11.6,−0.78,12.18
,99,1.401,−6.4,−2.39,43.33,3.4,2.9,20.18,11.1,−0.57,14.65
,100,1.416,−8.0,−1.53,67.62,5.9,3.13,9.21,10.7,−0.36,13.2
,101,1.43,−8.9,−0.46,71.62,8.5,3.17,−6.47,10.5,−0.20,6.83
,102,1.444,−8.8,0.52,59.88,11,2.94,−24.49,10.4,−0.16,−2.99
,103,1.459,−8.0,1.25,41.13,13.3,2.47,−39.25,10.2,−0.28,−12.86
,104,1.473,−6.7,1.7,22.1,15.1,1.82,−46.90,9.9,−0.53,−19.17
,105,1.487,−5.2,1.89,5.23,16.3,1.13,−47.03,9.4,−0.83,−19.53
,106,1.501,−3.7,1.85,−10.10,16.9,0.48,−40.67,8.5,−1.09,−13.02
