"TABLE A.7 Power Generation/Absorption and Transfer—Ankle, Knee, and Hip",,,,,,,,,,,,,,,
STATE,Frame,Time,"Muscle Power
Gen(+)/ABS(−)",,,Rate of Transfer Across Joints and Muscle,,,,,,Segment Angular Velocity,,,
,20,0.272,0.3,−57.2,15.7,−51.3,1.6,−59.6,0,−73.1,0,6.25,5.16,−0.91,0.37
,21,0.286,0.1,−62.3,18.7,−56.6,0.4,−65.4,0,−76.3,0,5.61,4.61,−1.02,0.32
,22,0.3,−0.1,−62.4,21.3,−58.4,−0.5,−69.8,0,−76.3,0,4.71,3.85,−1.03,0.31
,23,0.315,−0.2,−54.6,23,−55.6,−1.0,−72.5,0,−72.4,0,3.53,2.88,−0.94,0.34
,24,0.329,−0.2,−38.4,23.2,−47.9,−0.9,−73.4,0,−66.8,0,2.11,1.75,−0.79,0.42
,25,0.343,0,−17.7,21.1,−36.8,−0.3,−71.5,0,−61.7,0,0.49,0.58,−0.63,0.5
,26,0.357,0.4,0.2,16.6,−25.2,0.2,−65.9,6.3,−58.0,0,−1.27,−0.51,−0.49,0.53
,27,0.372,0.4,9.3,10.8,−16.1,0.4,−56.4,3.9,−55.4,0,−2.99,−1.39,−0.41,0.5
HCR,28,0.386,4,53.9,44,−12.7,3.3,−99.0,13.3,−113.1,0,−4.40,−1.99,−0.39,0.41
,29,0.4,−13.3,38.2,25.9,50.6,−10.7,−28.3,8.1,−47.0,0,−5.24,−2.33,−0.41,0.28
,30,0.415,−23.5,16,12.3,86.6,−20.7,22.6,3.1,0.8,0,−5.34,−2.50,−0.41,0.12
,31,0.429,−6.2,10.2,6.2,91.8,−7.4,43.2,1.6,15.1,1.3,−4.80,−2.61,−0.36,−0.06
,32,0.443,−8.3,−18.6,0.4,76,−18.5,39,−2.2,−2.7,2.7,−3.88,−2.68,−0.29,−0.25
,33,0.458,−0.7,−35.3,−1.3,55.5,−12.4,30.3,−3.8,−29.2,2,−2.85,−2.69,−0.26,−0.42
,34,0.472,3.5,−55.3,−0.1,39.6,−9.3,31.1,−9.1,−43.5,0.1,−1.88,−2.60,−0.37,−0.55
,35,0.486,3.3,−55.8,−0.2,29.2,−2.9,40.9,−20.3,−41.8,−2.8,−1.12,−2.41,−0.64,−0.59
,36,0.5,−0.8,−38.8,−3.5,20.5,0.3,51.5,−36.2,−36.0,−4.1,−0.60,−2.15,−1.04,−0.56
,37,0.515,0.3,−16.0,−9.5,11.5,−0.1,55.7,−54.9,−38.9,−4.9,−0.29,−1.88,−1.45,−0.49
,38,0.529,−5.4,5.3,−6.9,3.2,0.4,52.9,−53.3,−48.4,−2.1,−0.12,−1.64,−1.81,−0.43
,39,0.543,−7.3,16.6,−5.0,−2.5,0.1,46.3,−41.1,−51.6,−1.3,−0.02,−1.46,−2.05,−0.41
,40,0.558,−9.0,21,−8.0,−6.7,0,37.1,−33.0,−42.9,−2.2,0.03,−1.33,−2.18,−0.47
,41,0.572,−13.6,19.3,−10.4,−11.9,0,25,−25.0,−27.6,−3.7,0.06,−1.24,−2.19,−0.58
,42,0.586,−12.8,18.4,−16.7,−18.5,0,12.9,−23.4,−12.7,−8.6,0.03,−1.18,−2.11,−0.72
,43,0.601,−15.2,13.1,−14.2,−24.7,1.2,6,−18.3,−0.1,−10.8,−0.09,−1.16,−1.99,−0.86
,44,0.615,−16.8,7.7,−9.7,−28.2,5,8.3,−12.8,12.1,−10.7,−0.27,−1.17,−1.87,−0.98
,45,0.629,−16.6,4.7,−7.1,−28.3,9.7,18.3,−9.1,26.1,−10.8,−0.43,−1.17,−1.77,−1.07
,46,0.643,−16.5,3.5,−6.3,−24.7,12.9,31.5,−7.7,41.5,−12.7,−0.51,−1.16,−1.70,−1.14
,47,0.658,−18.4,3.3,−6.4,−18.7,13.7,43.7,−7.6,56.4,−16.4,−0.49,−1.15,−1.65,−1.19
,48,0.672,−22.5,3.4,−7.1,−13.0,12.3,52.2,−8.0,69,−20.2,−0.41,−1.14,−1.63,−1.21
,49,0.686,−28.1,2.9,−8.3,−10.0,10.7,54.6,−6.9,76.9,−20.9,−0.32,−1.16,−1.65,−1.18
,50,0.701,−32.6,1.2,−8.7,−10.9,13.1,50.2,−2.7,78.3,−16.9,−0.34,−1.18,−1.69,−1.12
,51,0.715,−31.2,−1.2,−7.8,−15.4,23.1,40.2,2.7,74.2,−11.7,−0.51,−1.20,−1.75,−1.05
,52,0.729,−20.0,0,−11.5,−23.7,36,27.5,0.1,69.5,−14.6,−0.79,−1.23,−1.79,−1.00
,53,0.744,−10.8,−2.5,−10.0,−36.4,58.2,14.7,6.4,68.6,−12.0,−1.09,−1.29,−1.79,−0.98
,54,0.758,−3.8,−2.3,−11.7,−54.6,77.7,3,8.6,70.4,−14.2,−1.32,−1.39,−1.76,−0.97
,55,0.772,−1.8,−1.0,−12.1,−80.0,97.4,−8.1,12.1,68.7,−15.6,−1.50,−1.53,−1.66,−0.94
,56,0.786,−0.8,2.2,−10.4,−113.2,121.4,−19.1,15.7,59.9,−14.6,−1.71,−1.72,−1.51,−0.88
,57,0.801,6.1,7.6,−8.5,−150.5,149.1,−27.8,16.4,48.6,−12.8,−2.01,−1.93,−1.32,−0.79
,58,0.815,26.5,12.8,−8.3,−187.0,177.3,−31.0,13.8,42.8,−12.1,−2.46,−2.14,−1.11,−0.66
,59,0.829,65.3,14.5,−9.8,−222.4,204.4,−28.5,9,44,−11.4,−3.10,−2.35,−0.90,−0.48
,60,0.844,120.8,12,−11.8,−260.9,228.2,−22.8,4.3,49,−8.0,−3.89,−2.55,−0.67,−0.27
,61,0.858,181.5,5.1,−13.0,−303.1,246,−15.9,0.9,54.8,−1.6,−4.76,−2.74,−0.43,−0.05
,62,0.872,232.2,−6.3,−12.0,−344.4,254.6,−10.7,−0.3,57.2,0,−5.62,−2.94,−0.14,0.18
,63,0.887,263.5,−21.7,−8.1,−376.4,249.1,−12.8,0,49.2,7.1,−6.43,−3.13,0.19,0.41
,64,0.901,272.4,−38.9,−2.6,−387.8,225,−24.0,0,27.1,18.9,−7.25,−3.28,0.56,0.64
,65,0.915,254.1,−54.0,2.8,−366.0,182.6,−36.6,0,−3.4,23.8,−8.03,−3.36,0.97,0.86
,66,0.929,203.4,−62.7,6.9,−307.3,129.2,−39.1,0,−28.9,22.2,−8.58,−3.33,1.4,1.07
,67,0.944,130.7,−62.9,9.8,−221.6,77,−24.4,0,−37.9,18.5,−8.57,−3.18,1.86,1.22
,68,0.958,60.7,−54.9,12.4,−125.8,35.5,5.8,0,−29.0,15,−7.81,−2.88,2.31,1.27
,69,0.972,14,−35.3,14.2,−31.8,8.9,44.1,0,−8.1,11,−6.31,−2.46,2.73,1.19
TOR,70,0.987,−3.3,−18.2,18.7,40.6,−2.6,81.8,0,18.1,9.2,−4.28,−1.91,3.1,1.02
